观测,模拟,车流
5.5,5.443,14
5.5,5.333,14
2.9,2.8739,14
2.9,3.106,14
2.6,2.546,14
2.6,2.639,11
3.3,2.9857,9
3.3,3.3676,10
4.2,3.9725,12
4.2,3.2565,8
3.1,3.395,10
3.1,2.9737,15
5.4,5.4614,13
5.4,5.1916,9
1.5,1.5391,10
1.5,1.2964,10
2.2,2.2198,10
2.2,2.1996,7
1.4,1.4858,14
1.4,2.3615,15
2.4,2.4325,14
2.4,1.8872,12
2.9,1.8987,17
0.9,1.3796,10
0.9,0.9887,16
0.9,0.9359,22
0.9,0.9298,23
0.7,0.6829,14
0.7,0.6885,24
1.2,0.9467,21
1.2,1.3031,19
3.6,3.6247,17
1.2,2.2025,19
3,2.5651,21
3,2.6744,19
2.6,2.6564,19
2.6,2.2705,20
